data,brick,regiao,categoria,vendas_clamed,vendas_concorrencia,receita,total_mercado,market_share_clamed
2025-01-01,18 - BRICK_18,Centro-Oeste,Generico,6798.75,0.0,6798.75,6798.75,100.0
2025-01-01,18 - BRICK_18,Sudeste,Generico,11104.38,0.0,11104.38,11104.38,100.0
2025-01-01,19 - BRICK_19,Centro-Oeste,OTC,12569.9,0.0,12569.9,12569.9,100.0
2025-01-01,19 - BRICK_19,Sudeste,Higiene,0.0,322.57,322.57,322.57,0.0
2025-01-01,19 - BRICK_19,Sudeste,OTC,849.16,0.0,849.16,849.16,100.0
2025-01-01,2 - BRICK_2,Sudeste,Higiene,616.36,1017.28,1633.6399999999999,1633.6399999999999,37.72924267280429
2025-01-01,20 - BRICK_20,Centro-Oeste,Generico,0.0,9770.81,9770.81,9770.81,0.0
2025-01-01,20 - BRICK_20,Sudeste,OTC,892.74,0.0,892.74,892.74,100.0
2025-01-01,20 - BRICK_20,Sudeste,Vitaminas,512.43,0.0,512.43,512.43,100.0
2025-01-01,20 - BRICK_20,Sul,Higiene,8873.54,0.0,8873.54,8873.54,100.0
2025-01-01,21 - BRICK_21,Centro-Oeste,Higiene,837.8,1001.16,1838.96,1838.96,45.558359072519245
2025-01-01,22 - BRICK_22,Centro-Oeste,Vitaminas,296.22,0.0,296.22,296.22,100.0
2025-01-01,23 - BRICK_23,Centro-Oeste,Generico,12368.46,0.0,12368.46,12368.46,100.0
2025-01-01,23 - BRICK_23,Centro-Oeste,Higiene,0.0,12607.92,12607.92,12607.92,0.0
2025-01-01,23 - BRICK_23,Centro-Oeste,OTC,13908.3,0.0,13908.3,13908.3,100.0
2025-01-01,23 - BRICK_23,Centro-Oeste,Vitaminas,1350.9,0.0,1350.9,1350.9,100.0
2025-01-01,23 - BRICK_23,Sudeste,Higiene,0.0,1087.9,1087.9,1087.9,0.0
2025-01-01,24 - BRICK_24,Sudeste,OTC,15095.2,0.0,15095.2,15095.2,100.0
2025-01-01,24 - BRICK_24,Sudeste,Vitaminas,840.26,0.0,840.26,840.26,100.0
2025-01-01,24 - BRICK_24,Sul,Vitaminas,657.69,0.0,657.69,657.69,100.0
2025-01-01,25 - BRICK_25,Centro-Oeste,Generico,0.0,1275.96,1275.96,1275.96,0.0
2025-01-01,25 - BRICK_25,Centro-Oeste,Higiene,5986.98,6174.92,12161.9,12161.9,49.22734112268642
2025-01-01,25 - BRICK_25,Sul,Generico,0.0,6846.57,6846.57,6846.57,0.0
2025-01-01,25 - BRICK_25,Sul,OTC,0.0,793.52,793.52,793.52,0.0
2025-01-01,25 - BRICK_25,Sul,Vitaminas,0.0,609.17,609.17,609.17,0.0
2025-01-01,26 - BRICK_26,Sudeste,Generico,9591.96,12124.07,21716.03,21716.03,44.169951874260626
2025-01-01,26 - BRICK_26,Sudeste,Vitaminas,527.34,0.0,527.34,527.34,100.0
2025-01-01,26 - BRICK_26,Sul,OTC,8015.43,0.0,8015.43,8015.43,100.0
2025-01-01,28 - BRICK_28,Sudeste,Generico,0.0,9103.88,9103.88,9103.88,0.0
2025-01-01,28 - BRICK_28,Sudeste,OTC,0.0,534.01,534.01,534.01,0.0
2025-01-01,29 - BRICK_29,Centro-Oeste,Vitaminas,0.0,464.64,464.64,464.64,0.0
2025-01-01,29 - BRICK_29,Sudeste,Generico,0.0,6912.69,6912.69,6912.69,0.0
2025-01-01,3 - BRICK_3,Sudeste,Higiene,0.0,1178.6,1178.6,1178.6,0.0
2025-01-01,30 - BRICK_30,Sul,Generico,0.0,15538.91,15538.91,15538.91,0.0
2025-01-01,30 - BRICK_30,Sul,Vitaminas,0.0,5346.5,5346.5,5346.5,0.0
2025-01-01,31 - BRICK_31,Sul,Higiene,1003.95,7798.349999999999,8802.3,8802.3,11.405541733410587
2025-01-01,32 - BRICK_32,Sudeste,Higiene,0.0,8119.53,8119.53,8119.53,0.0
2025-01-01,32 - BRICK_32,Sudeste,OTC,9255.550000000001,0.0,9255.550000000001,9255.550000000001,100.0
2025-01-01,32 - BRICK_32,Sul,Vitaminas,1378.87,0.0,1378.87,1378.87,100.0
2025-01-01,33 - BRICK_33,Centro-Oeste,Generico,1177.5,0.0,1177.5,1177.5,100.0
2025-01-01,33 - BRICK_33,Centro-Oeste,Higiene,6116.88,0.0,6116.88,6116.88,100.0
2025-01-01,33 - BRICK_33,Centro-Oeste,OTC,11611.32,0.0,11611.32,11611.32,100.0
2025-01-01,33 - BRICK_33,Sul,Generico,6276.26,0.0,6276.26,6276.26,100.0
2025-01-01,33 - BRICK_33,Sul,Higiene,906.8,0.0,906.8,906.8,100.0
2025-01-01,33 - BRICK_33,Sul,Vitaminas,0.0,435.19,435.19,435.19,0.0
2025-01-01,35 - BRICK_35,Centro-Oeste,Generico,11113.640000000001,0.0,11113.640000000001,11113.640000000001,100.0
2025-01-01,35 - BRICK_35,Sudeste,Generico,11099.3,0.0,11099.3,11099.3,100.0
2025-01-01,35 - BRICK_35,Sudeste,Higiene,624.56,0.0,624.56,624.56,100.0
2025-01-01,36 - BRICK_36,Centro-Oeste,Higiene,614.5,0.0,614.5,614.5,100.0
2025-01-01,36 - BRICK_36,Centro-Oeste,Vitaminas,6720.06,0.0,6720.06,6720.06,100.0
2025-01-01,36 - BRICK_36,Sul,Generico,0.0,12559.12,12559.12,12559.12,0.0
2025-01-01,37 - BRICK_37,Centro-Oeste,Higiene,944.8,0.0,944.8,944.8,100.0
2025-01-01,37 - BRICK_37,Centro-Oeste,OTC,11837.64,0.0,11837.64,11837.64,100.0
2025-01-01,37 - BRICK_37,Centro-Oeste,Vitaminas,775.78,0.0,775.78,775.78,100.0
2025-01-01,37 - BRICK_37,Sudeste,Higiene,0.0,89.96,89.96,89.96,0.0
2025-01-01,37 - BRICK_37,Sudeste,Vitaminas,5258.26,0.0,5258.26,5258.26,100.0
2025-01-01,38 - BRICK_38,Centro-Oeste,Higiene,5781.99,0.0,5781.99,5781.99,100.0
2025-01-01,38 - BRICK_38,Centro-Oeste,OTC,16427.61,0.0,16427.61,16427.61,100.0
2025-01-01,38 - BRICK_38,Centro-Oeste,Vitaminas,328.56,5002.96,5331.52,5331.52,6.162595282396014
2025-01-01,38 - BRICK_38,Sudeste,Higiene,913.56,12943.74,13857.3,13857.3,6.592626269186638
2025-01-01,38 - BRICK_38,Sul,Higiene,0.0,9255.9,9255.9,9255.9,0.0
2025-01-01,38 - BRICK_38,Sul,OTC,12314.94,0.0,12314.94,12314.94,100.0
2025-01-01,38 - BRICK_38,Sul,Vitaminas,0.0,966.45,966.45,966.45,0.0
2025-01-01,39 - BRICK_39,Centro-Oeste,Higiene,8124.69,0.0,8124.69,8124.69,100.0
2025-01-01,39 - BRICK_39,Centro-Oeste,Vitaminas,0.0,538.45,538.45,538.45,0.0
2025-01-01,39 - BRICK_39,Sudeste,Vitaminas,0.0,1980.1,1980.1,1980.1,0.0
2025-01-01,40 - BRICK_40,Centro-Oeste,Vitaminas,0.0,388.94,388.94,388.94,0.0
2025-01-01,40 - BRICK_40,Sul,Generico,7754.13,0.0,7754.13,7754.13,100.0
2025-01-01,41 - BRICK_41,Sudeste,Higiene,0.0,944.4,944.4,944.4,0.0
2025-01-01,41 - BRICK_41,Sul,Higiene,0.0,107.94,107.94,107.94,0.0
2025-01-01,42 - BRICK_42,Centro-Oeste,Vitaminas,0.0,4413.55,4413.55,4413.55,0.0
2025-01-01,43 - BRICK_43,Centro-Oeste,Generico,0.0,7353.6,7353.6,7353.6,0.0
2025-01-01,43 - BRICK_43,Centro-Oeste,Higiene,0.0,654.24,654.24,654.24,0.0
2025-01-01,44 - BRICK_44,Centro-Oeste,Generico,0.0,8065.38,8065.38,8065.38,0.0
2025-01-01,44 - BRICK_44,Sudeste,Generico,851.88,12261.78,13113.66,13113.66,6.496126939389919
2025-01-01,44 - BRICK_44,Sudeste,Higiene,0.0,11421.72,11421.72,11421.72,0.0
2025-01-01,44 - BRICK_44,Sudeste,OTC,0.0,14083.4,14083.4,14083.4,0.0
2025-01-01,44 - BRICK_44,Sul,Vitaminas,0.0,5171.04,5171.04,5171.04,0.0
2025-01-01,45 - BRICK_45,Sul,Vitaminas,4742.96,0.0,4742.96,4742.96,100.0
2025-01-01,46 - BRICK_46,Sudeste,Generico,6375.4,0.0,6375.4,6375.4,100.0
2025-01-01,46 - BRICK_46,Sudeste,Vitaminas,447.66,0.0,447.66,447.66,100.0
2025-01-01,46 - BRICK_46,Sul,Vitaminas,4945.86,0.0,4945.86,4945.86,100.0
2025-01-01,47 - BRICK_47,Sudeste,OTC,0.0,9461.16,9461.16,9461.16,0.0
2025-01-01,47 - BRICK_47,Sul,Generico,0.0,11429.92,11429.92,11429.92,0.0
2025-01-01,48 - BRICK_48,Sul,Higiene,22003.28,0.0,22003.28,22003.28,100.0
2025-01-01,48 - BRICK_48,Sul,Vitaminas,0.0,686.24,686.24,686.24,0.0
2025-01-01,49 - BRICK_49,Centro-Oeste,Vitaminas,0.0,4369.59,4369.59,4369.59,0.0
2025-01-01,49 - BRICK_49,Sul,OTC,443.82,0.0,443.82,443.82,100.0
2025-01-01,5 - BRICK_5,Centro-Oeste,OTC,1513.96,0.0,1513.96,1513.96,100.0
2025-01-01,5 - BRICK_5,Sudeste,Generico,0.0,8705.64,8705.64,8705.64,0.0
2025-01-01,5 - BRICK_5,Sudeste,Vitaminas,0.0,631.06,631.06,631.06,0.0
2025-01-01,5 - BRICK_5,Sul,Generico,118.4,0.0,118.4,118.4,100.0
2025-01-01,5 - BRICK_5,Sul,Higiene,984.48,0.0,984.48,984.48,100.0
2025-01-01,6 - BRICK_6,Centro-Oeste,Generico,0.0,15173.6,15173.6,15173.6,0.0
2025-01-01,6 - BRICK_6,Sudeste,Generico,0.0,833.84,833.84,833.84,0.0
2025-01-01,6 - BRICK_6,Sudeste,Higiene,0.0,9920.31,9920.31,9920.31,0.0
2025-01-01,6 - BRICK_6,Sul,OTC,15359.04,0.0,15359.04,15359.04,100.0
2025-01-01,7 - BRICK_7,Sudeste,Vitaminas,442.45,0.0,442.45,442.45,100.0
2025-01-01,7 - BRICK_7,Sul,Vitaminas,6036.64,5811.98,11848.619999999999,11848.619999999999,50.948042894446786
2025-01-01,8 - BRICK_8,Centro-Oeste,Vitaminas,0.0,850.28,850.28,850.28,0.0
2025-01-01,8 - BRICK_8,Sudeste,Higiene,0.0,9493.02,9493.02,9493.02,0.0
2025-01-01,8 - BRICK_8,Sudeste,Vitaminas,438.39,0.0,438.39,438.39,100.0
2025-01-01,8 - BRICK_8,Sul,Generico,0.0,8240.31,8240.31,8240.31,0.0
2025-01-01,8 - BRICK_8,Sul,Higiene,7383.6,0.0,7383.6,7383.6,100.0
2025-01-01,9 - BRICK_9,Centro-Oeste,OTC,11882.4,13713.9,25596.3,25596.3,46.422334478030024
2025-01-01,9 - BRICK_9,Sudeste,Generico,0.0,14438.49,14438.49,14438.49,0.0
2025-01-02,1 - BRICK_1,Centro-Oeste,OTC,0.0,1182.42,1182.42,1182.42,0.0
2025-01-02,1 - BRICK_1,Centro-Oeste,Vitaminas,358.88,0.0,358.88,358.88,100.0
2025-01-02,1 - BRICK_1,Sul,Generico,0.0,15791.31,15791.31,15791.31,0.0
2025-01-02,10 - BRICK_10,Centro-Oeste,Generico,0.0,26546.98,26546.98,26546.98,0.0
2025-01-02,10 - BRICK_10,Centro-Oeste,Higiene,0.0,484.98,484.98,484.98,0.0
2025-01-02,10 - BRICK_10,Centro-Oeste,Vitaminas,545.73,0.0,545.73,545.73,100.0
2025-01-02,10 - BRICK_10,Sudeste,Higiene,0.0,75.22,75.22,75.22,0.0
2025-01-02,10 - BRICK_10,Sul,Higiene,0.0,1024.8,1024.8,1024.8,0.0
2025-01-02,11 - BRICK_11,Sudeste,Vitaminas,0.0,475.02,475.02,475.02,0.0
2025-01-02,11 - BRICK_11,Sul,OTC,1043.58,0.0,1043.58,1043.58,100.0
2025-01-02,13 - BRICK_13,Sudeste,Higiene,11562.9,0.0,11562.9,11562.9,100.0
2025-01-02,13 - BRICK_13,Sudeste,Vitaminas,0.0,10584.199999999999,10584.199999999999,10584.199999999999,0.0
2025-01-02,13 - BRICK_13,Sul,Generico,11375.9,0.0,11375.9,11375.9,100.0
2025-01-02,13 - BRICK_13,Sul,Vitaminas,0.0,721.5,721.5,721.5,0.0
2025-01-02,14 - BRICK_14,Sudeste,Higiene,482.93,0.0,482.93,482.93,100.0
2025-01-02,15 - BRICK_15,Sul,Higiene,6006.15,0.0,6006.15,6006.15,100.0
2025-01-02,15 - BRICK_15,Sul,OTC,0.0,13375.25,13375.25,13375.25,0.0
2025-01-02,15 - BRICK_15,Sul,Vitaminas,0.0,4785.48,4785.48,4785.48,0.0
2025-01-02,16 - BRICK_16,Centro-Oeste,Generico,0.0,10816.82,10816.82,10816.82,0.0
2025-01-02,16 - BRICK_16,Sul,Generico,7987.83,0.0,7987.83,7987.83,100.0
2025-01-02,17 - BRICK_17,Centro-Oeste,OTC,0.0,84.28,84.28,84.28,0.0
2025-01-02,17 - BRICK_17,Sudeste,Generico,11921.7,0.0,11921.7,11921.7,100.0
2025-01-02,17 - BRICK_17,Sul,OTC,949.9,0.0,949.9,949.9,100.0
2025-01-02,17 - BRICK_17,Sul,Vitaminas,0.0,2918.44,2918.44,2918.44,0.0
2025-01-02,18 - BRICK_18,Centro-Oeste,Vitaminas,0.0,408.92,408.92,408.92,0.0
2025-01-02,18 - BRICK_18,Sudeste,OTC,9833.32,0.0,9833.32,9833.32,100.0
2025-01-02,19 - BRICK_19,Sudeste,Higiene,363.04,0.0,363.04,363.04,100.0
2025-01-02,2 - BRICK_2,Sudeste,Higiene,15305.98,0.0,15305.98,15305.98,100.0
2025-01-02,20 - BRICK_20,Sul,Vitaminas,0.0,337.26,337.26,337.26,0.0
2025-01-02,22 - BRICK_22,Sudeste,OTC,0.0,7603.2,7603.2,7603.2,0.0
2025-01-02,23 - BRICK_23,Centro-Oeste,Generico,0.0,1368.06,1368.06,1368.06,0.0
2025-01-02,23 - BRICK_23,Centro-Oeste,Higiene,0.0,87.72,87.72,87.72,0.0
2025-01-02,23 - BRICK_23,Centro-Oeste,Vitaminas,0.0,15613.89,15613.89,15613.89,0.0
2025-01-02,23 - BRICK_23,Sudeste,Vitaminas,499.12,0.0,499.12,499.12,100.0
2025-01-02,25 - BRICK_25,Centro-Oeste,Vitaminas,5903.1,392.56,6295.660000000001,6295.660000000001,93.76459338655518
2025-01-02,25 - BRICK_25,Sul,Vitaminas,0.0,3944.73,3944.73,3944.73,0.0
2025-01-02,26 - BRICK_26,Sudeste,Higiene,0.0,738.42,738.42,738.42,0.0
2025-01-02,27 - BRICK_27,Centro-Oeste,Vitaminas,5793.32,3886.89,9680.21,9680.21,59.84704877270225
2025-01-02,27 - BRICK_27,Sudeste,Higiene,8877.68,0.0,8877.68,8877.68,100.0
2025-01-02,29 - BRICK_29,Sudeste,Vitaminas,3238.86,0.0,3238.86,3238.86,100.0
2025-01-02,29 - BRICK_29,Sul,Generico,9911.84,0.0,9911.84,9911.84,100.0
2025-01-02,29 - BRICK_29,Sul,OTC,0.0,183.4,183.4,183.4,0.0
2025-01-02,29 - BRICK_29,Sul,Vitaminas,0.0,814.95,814.95,814.95,0.0
2025-01-02,3 - BRICK_3,Sudeste,OTC,0.0,13299.8,13299.8,13299.8,0.0
2025-01-02,3 - BRICK_3,Sudeste,Vitaminas,0.0,54.18,54.18,54.18,0.0
2025-01-02,30 - BRICK_30,Centro-Oeste,Higiene,0.0,387.59,387.59,387.59,0.0
2025-01-02,30 - BRICK_30,Sudeste,Vitaminas,623.32,0.0,623.32,623.32,100.0
2025-01-02,30 - BRICK_30,Sul,Higiene,3849.42,0.0,3849.42,3849.42,100.0
2025-01-02,30 - BRICK_30,Sul,Vitaminas,8879.66,0.0,8879.66,8879.66,100.0
2025-01-02,31 - BRICK_31,Sul,Higiene,0.0,400.66,400.66,400.66,0.0
2025-01-02,31 - BRICK_31,Sul,OTC,0.0,1232.97,1232.97,1232.97,0.0
2025-01-02,32 - BRICK_32,Sudeste,Generico,799.71,0.0,799.71,799.71,100.0
2025-01-02,32 - BRICK_32,Sudeste,Higiene,867.8,5406.3,6274.1,6274.1,13.831465867614476
2025-01-02,32 - BRICK_32,Sul,Higiene,0.0,832.0,832.0,832.0,0.0
2025-01-02,33 - BRICK_33,Centro-Oeste,Higiene,8363.07,0.0,8363.07,8363.07,100.0
2025-01-02,33 - BRICK_33,Centro-Oeste,Vitaminas,0.0,5372.88,5372.88,5372.88,0.0
2025-01-02,33 - BRICK_33,Sul,Generico,0.0,6626.52,6626.52,6626.52,0.0
2025-01-02,33 - BRICK_33,Sul,Vitaminas,0.0,697.8199999999999,697.8199999999999,697.8199999999999,0.0
2025-01-02,34 - BRICK_34,Sudeste,Vitaminas,0.0,458.85,458.85,458.85,0.0
2025-01-02,34 - BRICK_34,Sul,Higiene,0.0,8861.79,8861.79,8861.79,0.0
2025-01-02,35 - BRICK_35,Centro-Oeste,Vitaminas,0.0,13050.14,13050.14,13050.14,0.0
2025-01-02,36 - BRICK_36,Sul,Generico,809.19,0.0,809.19,809.19,100.0
2025-01-02,37 - BRICK_37,Centro-Oeste,Generico,6052.46,0.0,6052.46,6052.46,100.0
2025-01-02,38 - BRICK_38,Centro-Oeste,Higiene,6786.4400000000005,0.0,6786.4400000000005,6786.4400000000005,100.0
2025-01-02,38 - BRICK_38,Sul,OTC,0.0,1632.45,1632.45,1632.45,0.0
2025-01-02,39 - BRICK_39,Sudeste,Vitaminas,813.26,691.42,1504.6799999999998,1504.6799999999998,54.0487013850121
2025-01-02,39 - BRICK_39,Sul,Higiene,9662.8,0.0,9662.8,9662.8,100.0
2025-01-02,40 - BRICK_40,Centro-Oeste,Generico,1455.57,0.0,1455.57,1455.57,100.0
2025-01-02,40 - BRICK_40,Centro-Oeste,Vitaminas,5795.82,0.0,5795.82,5795.82,100.0
2025-01-02,41 - BRICK_41,Centro-Oeste,Generico,8624.76,0.0,8624.76,8624.76,100.0
2025-01-02,41 - BRICK_41,Centro-Oeste,Higiene,909.27,725.76,1635.03,1635.03,55.61182363626356
2025-01-02,41 - BRICK_41,Sul,OTC,140.84,0.0,140.84,140.84,100.0
2025-01-02,41 - BRICK_41,Sul,Vitaminas,3844.65,0.0,3844.65,3844.65,100.0
2025-01-02,43 - BRICK_43,Sudeste,Generico,0.0,13296.6,13296.6,13296.6,0.0
2025-01-02,43 - BRICK_43,Sudeste,OTC,16592.64,0.0,16592.64,16592.64,100.0
2025-01-02,44 - BRICK_44,Centro-Oeste,Vitaminas,0.0,664.3,664.3,664.3,0.0
2025-01-02,44 - BRICK_44,Sudeste,OTC,1609.65,0.0,1609.65,1609.65,100.0
2025-01-02,44 - BRICK_44,Sudeste,Vitaminas,0.0,100.1,100.1,100.1,0.0
2025-01-02,45 - BRICK_45,Centro-Oeste,Generico,12884.0,0.0,12884.0,12884.0,100.0
2025-01-02,45 - BRICK_45,Sul,Higiene,0.0,7762.6,7762.6,7762.6,0.0
2025-01-02,45 - BRICK_45,Sul,OTC,0.0,45.53,45.53,45.53,0.0
2025-01-02,45 - BRICK_45,Sul,Vitaminas,640.0,425.29,1065.29,1065.29,60.07753757192877
2025-01-02,46 - BRICK_46,Sudeste,Generico,604.0,0.0,604.0,604.0,100.0
2025-01-02,46 - BRICK_46,Sudeste,Vitaminas,0.0,344.06,344.06,344.06,0.0
2025-01-02,46 - BRICK_46,Sul,Higiene,0.0,8949.96,8949.96,8949.96,0.0
2025-01-02,46 - BRICK_46,Sul,OTC,545.54,0.0,545.54,545.54,100.0
2025-01-02,46 - BRICK_46,Sul,Vitaminas,489.36,0.0,489.36,489.36,100.0
2025-01-02,47 - BRICK_47,Centro-Oeste,Higiene,3135.24,0.0,3135.24,3135.24,100.0
2025-01-02,47 - BRICK_47,Centro-Oeste,OTC,1453.8,0.0,1453.8,1453.8,100.0
2025-01-02,48 - BRICK_48,Sudeste,OTC,0.0,1036.08,1036.08,1036.08,0.0
2025-01-02,49 - BRICK_49,Centro-Oeste,Higiene,0.0,6746.91,6746.91,6746.91,0.0
2025-01-02,5 - BRICK_5,Centro-Oeste,Generico,10352.43,0.0,10352.43,10352.43,100.0
2025-01-02,5 - BRICK_5,Centro-Oeste,OTC,10016.5,13986.65,24003.15,24003.15,41.72993961209258
2025-01-02,5 - BRICK_5,Centro-Oeste,Vitaminas,0.0,916.65,916.65,916.65,0.0
2025-01-02,5 - BRICK_5,Sul,Generico,0.0,11024.65,11024.65,11024.65,0.0
2025-01-02,6 - BRICK_6,Sul,Vitaminas,0.0,6820.5,6820.5,6820.5,0.0
2025-01-02,7 - BRICK_7,Sudeste,Vitaminas,0.0,5193.85,5193.85,5193.85,0.0
2025-01-02,7 - BRICK_7,Sul,Vitaminas,572.58,0.0,572.58,572.58,100.0
2025-01-02,8 - BRICK_8,Centro-Oeste,Higiene,0.0,11590.62,11590.62,11590.62,0.0
2025-01-02,9 - BRICK_9,Sudeste,Generico,0.0,1537.58,1537.58,1537.58,0.0
2025-01-02,9 - BRICK_9,Sudeste,OTC,0.0,13388.5,13388.5,13388.5,0.0
2025-01-02,9 - BRICK_9,Sudeste,Vitaminas,0.0,436.74,436.74,436.74,0.0
2025-01-02,9 - BRICK_9,Sul,Generico,13833.3,0.0,13833.3,13833.3,100.0
2025-01-02,9 - BRICK_9,Sul,Higiene,0.0,11053.2,11053.2,11053.2,0.0
2025-01-03,1 - BRICK_1,Centro-Oeste,Generico,0.0,1184.4,1184.4,1184.4,0.0
2025-01-03,1 - BRICK_1,Centro-Oeste,Higiene,0.0,731.07,731.07,731.07,0.0
2025-01-03,1 - BRICK_1,Centro-Oeste,OTC,0.0,71.86,71.86,71.86,0.0
2025-01-03,1 - BRICK_1,Sul,Generico,10783.2,0.0,10783.2,10783.2,100.0
2025-01-03,10 - BRICK_10,Sul,Generico,12396.16,0.0,12396.16,12396.16,100.0
2025-01-03,10 - BRICK_10,Sul,Higiene,7078.32,463.68,7542.0,7542.0,93.85202863961814
2025-01-03,11 - BRICK_11,Sudeste,OTC,745.38,0.0,745.38,745.38,100.0
2025-01-03,12 - BRICK_12,Sudeste,Generico,683.28,0.0,683.28,683.28,100.0
2025-01-03,13 - BRICK_13,Sudeste,Generico,0.0,9072.8,9072.8,9072.8,0.0
2025-01-03,14 - BRICK_14,Centro-Oeste,Higiene,7495.4,0.0,7495.4,7495.4,100.0
2025-01-03,14 - BRICK_14,Sudeste,Generico,0.0,758.48,758.48,758.48,0.0
2025-01-03,14 - BRICK_14,Sudeste,Higiene,0.0,4896.21,4896.21,4896.21,0.0
2025-01-03,15 - BRICK_15,Sudeste,OTC,0.0,7765.22,7765.22,7765.22,0.0
2025-01-03,15 - BRICK_15,Sul,Generico,12282.4,0.0,12282.4,12282.4,100.0
2025-01-03,15 - BRICK_15,Sul,Higiene,1495.58,0.0,1495.58,1495.58,100.0
2025-01-03,15 - BRICK_15,Sul,Vitaminas,7315.04,464.67,7779.71,7779.71,94.02715525385908
2025-01-03,16 - BRICK_16,Sul,Higiene,0.0,853.62,853.62,853.62,0.0
2025-01-03,17 - BRICK_17,Sudeste,Generico,10387.4,0.0,10387.4,10387.4,100.0
2025-01-03,17 - BRICK_17,Sudeste,Higiene,0.0,8102.22,8102.22,8102.22,0.0
2025-01-03,17 - BRICK_17,Sudeste,Vitaminas,647.28,0.0,647.28,647.28,100.0
2025-01-03,17 - BRICK_17,Sul,Vitaminas,599.29,438.69,1037.98,1037.98,57.73617988785911
2025-01-03,18 - BRICK_18,Centro-Oeste,Higiene,5878.23,0.0,5878.23,5878.23,100.0
2025-01-03,18 - BRICK_18,Centro-Oeste,OTC,0.0,1073.34,1073.34,1073.34,0.0
2025-01-03,18 - BRICK_18,Centro-Oeste,Vitaminas,1087.56,0.0,1087.56,1087.56,100.0
2025-01-03,19 - BRICK_19,Sudeste,Vitaminas,0.0,479.89,479.89,479.89,0.0
2025-01-03,2 - BRICK_2,Sudeste,Higiene,919.38,0.0,919.38,919.38,100.0
2025-01-03,21 - BRICK_21,Centro-Oeste,Generico,0.0,1404.36,1404.36,1404.36,0.0
2025-01-03,22 - BRICK_22,Sudeste,Higiene,7838.320000000001,0.0,7838.320000000001,7838.320000000001,100.0
2025-01-03,22 - BRICK_22,Sudeste,Vitaminas,539.73,0.0,539.73,539.73,100.0
2025-01-03,23 - BRICK_23,Sudeste,Generico,8420.15,12251.2,20671.35,20671.35,40.73343056936291
2025-01-03,23 - BRICK_23,Sudeste,Vitaminas,0.0,3722.18,3722.18,3722.18,0.0
2025-01-03,24 - BRICK_24,Sudeste,Higiene,0.0,12852.5,12852.5,12852.5,0.0
2025-01-03,24 - BRICK_24,Sudeste,OTC,0.0,7611.27,7611.27,7611.27,0.0
2025-01-03,24 - BRICK_24,Sul,Vitaminas,565.22,5401.01,5966.2300000000005,5966.2300000000005,9.473654217152205
2025-01-03,25 - BRICK_25,Centro-Oeste,Generico,0.0,6808.95,6808.95,6808.95,0.0
2025-01-03,25 - BRICK_25,Sudeste,Higiene,5183.02,0.0,5183.02,5183.02,100.0
2025-01-03,25 - BRICK_25,Sudeste,Vitaminas,0.0,357.68,357.68,357.68,0.0
2025-01-03,25 - BRICK_25,Sul,Higiene,558.32,0.0,558.32,558.32,100.0
2025-01-03,26 - BRICK_26,Sul,Generico,0.0,8096.94,8096.94,8096.94,0.0
2025-01-03,26 - BRICK_26,Sul,Higiene,5512.82,7158.92,12671.74,12671.74,43.50483832528129
